Rk,Player,CleanPlayer,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Goalsper90,Assistper90,G+A,G-PKper90,G+A-PK,xG,npxG,xA,npxG+xA,xGoalsper90,xAssistper90,xG+xA,npxGper90,npxG+xAper90,TransferMarketvalue
14,Rúnar Alex Rúnarsson,Runar Alex Runarsson,is ISL,GK,Arsenal,26-036,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1980000
32,Pierre-Emerick Aubameyang,Pierre Emerick Aubameyang,ga GAB,FW,Arsenal,31-281,1989,24,21,1933,21.5,9,1,7,2,2,2,0,0.42,0.05,0.47,0.33,0.37,9,7.4,1.6,9.1,0.42,0.08,0.49,0.35,0.42,38500000
53,Héctor Bellerín,Hector Bellerin,es ESP,DF,Arsenal,26-007,1995,22,22,1910,21.2,1,2,1,0,0,8,0,0.05,0.09,0.14,0.05,0.14,0.6,0.6,2.3,2.9,0.03,0.11,0.14,0.03,0.14,27500000
89,Dani Ceballos,Dani Ceballos,es ESP,MF,Arsenal,24-231,1996,19,11,1123,12.5,0,2,0,0,0,3,0,0,0.16,0.16,0,0.16,0.3,0.3,2.2,2.5,0.02,0.17,0.2,0.02,0.2,33000000
90,Calum Chambers,Calum Chambers,eng ENG,DF,Arsenal,26-065,1995,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.04,0.25,0.29,0.04,0.29,13200000
128,Gabriel Dos Santos,Gabriel Dos Santos,br BRA,DF,Arsenal,23-097,1997,16,15,1366,15.2,2,0,2,0,0,3,1,0.13,0,0.13,0.13,0.13,0.8,0.8,0,0.8,0.05,0,0.05,0.05,0.05,27500000
138,Mohamed Elneny,Mohamed Elneny,eg EGY,MF,Arsenal,28-258,1992,16,12,1076,12,0,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0.2,0.5,0.03,0.01,0.05,0.03,0.05,11000000
195,Rob Holding,Rob Holding,eng ENG,DF,Arsenal,25-187,1995,22,20,1838,20.4,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1.1,1.1,0.2,1.4,0.06,0.01,0.07,0.06,0.07,17600000
242,Alexandre Lacazette,Alexandre Lacazette,fr FRA,FW,Arsenal,29-302,1991,25,19,1621,18,11,2,8,3,3,3,0,0.61,0.11,0.72,0.44,0.56,8.6,6.3,2.3,8.6,0.48,0.13,0.61,0.35,0.48,38500000
251,Bernd Leno,Bernd Leno,de GER,GK,Arsenal,29-022,1992,28,28,2501,27.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27500000
269,David Luiz,David Luiz,br BRA,DF,Arsenal,33-338,1987,19,16,1344,14.9,1,0,1,0,0,1,1,0.07,0,0.07,0.07,0.07,0.8,0.8,0.4,1.3,0.06,0.03,0.09,0.06,0.09,5500000
276,Ainsley Maitland-Niles,Ainsley Maitland Niles,eng ENG,DF,Arsenal,23-209,1997,11,5,490,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,
283,Pablo Marí,Pablo Mari,es ESP,DF,Arsenal,27-207,1993,7,7,630,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,7700000
285,Martinelli,Martinelli,br BRA,FW,Arsenal,19-281,2001,6,3,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0.31,0.01,0.32,0.31,0.32,24200000
328,Reiss Nelson,Reiss Nelson,eng ENG,FW,Arsenal,21-106,1999,2,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0.06,0.06,11000000
331,Eddie Nketiah,Eddie Nketiah,eng ENG,FW,Arsenal,21-300,1999,14,3,327,3.6,1,1,1,0,0,0,0,0.28,0.28,0.55,0.28,0.55,1.2,1.2,0.6,1.8,0.32,0.16,0.48,0.32,0.48,19800000
348,Thomas Partey,Thomas Partey,gh GHA,MF,Arsenal,27-286,1993,15,12,963,10.7,0,1,0,0,0,3,0,0,0.09,0.09,0,0.09,0.8,0.8,0.6,1.4,0.07,0.05,0.13,0.07,0.13,49500000
352,Nicolas Pépé,Nicolas Pepe,ci CIV,FW,Arsenal,25-301,1995,21,10,1057,11.7,5,1,4,1,1,1,1,0.43,0.09,0.51,0.34,0.43,5.1,4.3,0.6,4.9,0.43,0.05,0.48,0.37,0.42,41800000
397,Mathew Ryan,Mathew Ryan,au AUS,GK,Arsenal,28-352,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600000
401,Bukayo Saka,Bukayo Saka,eng ENG,FWDF,Arsenal,19-202,2001,25,24,2069,23,5,2,5,0,0,1,0,0.22,0.09,0.3,0.22,0.3,6.5,6.5,3.8,10.3,0.28,0.17,0.45,0.28,0.45,66000000
427,Emile Smith-Rowe,Emile Smith Rowe,eng ENG,MFFW,Arsenal,20-241,2000,14,12,945,10.5,0,4,0,0,0,0,0,0,0.38,0.38,0,0.38,1,1,2.4,3.4,0.1,0.23,0.32,0.1,0.32,14300000
430,Cédric Soares,Cedric Soares,pt POR,DF,Arsenal,29-207,1991,9,8,700,7.8,0,1,0,0,0,1,0,0,0.13,0.13,0,0.13,0.2,0.2,0.9,1.1,0.02,0.11,0.14,0.02,0.14,6600000
453,Kieran Tierney,Kieran Tierney,sco SCO,DF,Arsenal,23-294,1997,22,22,1970,21.9,1,2,1,0,0,4,0,0.05,0.09,0.14,0.05,0.14,0.4,0.4,3.7,4.1,0.02,0.17,0.19,0.02,0.19,33000000
495,Willian,Willian,br BRA,FWMF,Arsenal,32-229,1988,21,14,1196,13.3,0,5,0,0,0,0,0,0,0.38,0.38,0,0.38,1.9,1.9,2,3.9,0.14,0.15,0.29,0.14,0.29,13200000
496,Joe Willock,Joe Willock,eng ENG,MF,Arsenal,21-218,1999,7,2,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.5,0.17,0.02,0.18,0.17,0.18,
501,Granit Xhaka,Granit Xhaka,ch SUI,MF,Arsenal,28-180,1992,25,24,2059,22.9,1,2,1,0,0,6,1,0.04,0.09,0.13,0.04,0.13,0.7,0.7,1.3,2,0.03,0.06,0.09,0.03,0.09,24200000
511,Martin Ødegaard,Martin Odegaard,no NOR,MF,Arsenal,22-099,1998,8,5,474,5.3,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.8,1.6,0.15,0.15,0.3,0.15,0.3,44000000
45,Ross Barkley,Ross Barkley,eng ENG,MF,Aston Villa,27-111,1993,18,14,1167,13,3,1,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,3,3,3.1,6,0.23,0.24,0.47,0.23,0.47,
83,Matty Cash,Matty Cash,eng ENG,DF,Aston Villa,23-231,1997,22,22,1912,21.2,0,2,0,0,0,6,0,0,0.09,0.09,0,0.09,0.3,0.3,1.7,2,0.01,0.08,0.09,0.01,0.09,
110,Keinan Davis,Keinan Davis,eng ENG,FW,Aston Villa,23-041,1998,8,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.35,0.11,0.46,0.35,0.46,
137,Ahmed Elmohamady,Ahmed Elmohamady,eg EGY,DF,Aston Villa,33-198,1987,11,6,613,6.8,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.04,0.08,0.12,0.04,0.12,
163,Anwar El Ghazi,Anwar El Ghazi,nl NED,FW,Aston Villa,25-327,1995,18,9,913,10.1,6,0,4,2,2,1,0,0.59,0,0.59,0.39,0.39,4.8,3.3,1.7,5,0.47,0.17,0.64,0.32,0.49,
174,Jack Grealish,Jack Grealish,eng ENG,FWMF,Aston Villa,25-197,1995,22,22,1977,22,6,10,6,0,0,6,0,0.27,0.46,0.73,0.27,0.73,4.2,4.2,8.1,12.2,0.19,0.37,0.56,0.19,0.56,
184,Kortney Hause,Kortney Hause,eng ENG,DF,Aston Villa,25-253,1995,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,1.1,1.1,0,1.1,0.27,0,0.27,0.27,0.27,
197,Conor Hourihane,Conor Hourihane,ie IRL,MF,Aston Villa,30-052,1991,4,3,225,2.5,1,1,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8,0.5,0.5,0.8,1.3,0.2,0.32,0.52,0.2,0.52,
237,Ezri Konsa,Ezri Konsa,eng ENG,DF,Aston Villa,23-154,1997,26,25,2296,25.5,2,0,2,0,0,2,0,0.08,0,0.08,0.08,0.08,1.4,1.4,0,1.4,0.05,0,0.05,0.05,0.05,
270,Douglas Luiz,Douglas Luiz,br BRA,MF,Aston Villa,22-321,1998,24,24,2099,23.3,0,2,0,0,0,7,1,0,0.09,0.09,0,0.09,1.2,1.2,1.2,2.4,0.05,0.05,0.1,0.05,0.1,
286,Emiliano Martínez,Emiliano Martinez,ar ARG,GK,Aston Villa,28-205,1992,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,
297,John McGinn,John McGinn,sco SCO,MF,Aston Villa,26-159,1994,27,27,2430,27,1,4,1,0,0,7,0,0.04,0.15,0.19,0.04,0.19,1.6,1.6,2.2,3.9,0.06,0.08,0.14,0.06,0.14,
311,Tyrone Mings,Tyrone Mings,eng ENG,DF,Aston Villa,28-013,1993,27,27,2384,26.5,2,1,2,0,0,6,1,0.08,0.04,0.11,0.08,0.11,1.7,1.7,0.5,2.2,0.06,0.02,0.08,0.06,0.08,
324,Marvelous Nakamba,Marvelous Nakamba,zw ZIM,MF,Aston Villa,27-066,1994,9,5,444,4.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,
368,Jacob Ramsey,Jacob Ramsey,eng ENG,MF,Aston Villa,19-302,2001,13,4,391,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.05,0.03,0.08,0.05,0.08,
407,Morgan Sanson,Morgan Sanson,fr FRA,MF,Aston Villa,26-220,1994,8,2,228,2.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.2,0,0.06,0.06,0,0.06,
441,Matt Targett,Matt Targett,eng ENG,DF,Aston Villa,25-189,1995,28,28,2504,27.8,0,1,0,0,0,6,0,0,0.04,0.04,0,0.04,0.2,0.2,1.8,2,0.01,0.06,0.07,0.01,0.07,
446,Neil Taylor,Neil Taylor,wal WAL,DF,Aston Villa,32-047,1989,1,0,16,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
461,Bertrand Traoré,Bertrand Traore,bf BFA,FW,Aston Villa,25-201,1995,26,19,1525,16.9,5,3,5,0,0,0,0,0.3,0.18,0.47,0.3,0.47,4.8,4.8,1.4,6.2,0.28,0.08,0.37,0.28,0.37,
462,Trézéguet,Trezeguet,eg EGY,FW,Aston Villa,26-176,1994,19,11,1056,11.7,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,3,3,2,5,0.25,0.17,0.42,0.25,0.42,
484,Ollie Watkins,Ollie Watkins,eng ENG,FW,Aston Villa,25-086,1995,28,28,2520,28,10,3,9,1,2,1,0,0.36,0.11,0.46,0.32,0.43,12.1,10.6,2.9,13.5,0.43,0.1,0.54,0.38,0.48,
22,Steven Alzate,Steven Alzate,co COL,MFDF,Brighton,22-199,1998,12,8,741,8.2,1,0,1,0,0,2,0,0.12,0,0.12,0.12,0.12,0.6,0.6,0.4,1,0.07,0.05,0.12,0.07,0.12,
61,Bernardo,Bernardo,br BRA,DFMF,Brighton,25-316,1995,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22,
63,Yves Bissouma,Yves Bissouma,ml MLI,MF,Brighton,24-208,1996,27,26,2302,25.6,1,0,1,0,0,6,1,0.04,0,0.04,0.04,0.04,0.7,0.7,0.4,1.1,0.03,0.01,0.04,0.03,0.04,
