Season,Age,Squad,Comp,CompType,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Player
2002-2003,17,Sporting CP,Primeira Liga,Domestic,25,11,"1,080",12,3,3,3,0,0,1,0,Cristiano Ronaldo
2002-2003,17,Sporting CP,UEFA Cup,Cup,2,1,118,1.3,0,,0,0,,0,0,Cristiano Ronaldo
2003-2004,18,Manchester Utd,Champions Lg,Champions League,5,3,291,3.2,0,0,0,0,0,0,0,Cristiano Ronaldo
2003-2004,18,Manchester Utd,Premiership,Domestic,29,15,"1,548",17.2,4,7,4,0,0,4,1,Cristiano Ronaldo
2004-2005,19,Manchester Utd,Champions Lg,Champions League,7,6,502,5.6,0,2,0,0,0,0,0,Cristiano Ronaldo
2004-2005,19,Manchester Utd,Premiership,Domestic,33,25,"2,423",26.9,5,6,5,0,0,4,0,Cristiano Ronaldo
2005-2006,20,Manchester Utd,Champions Lg,Champions League,6,6,506,5.6,0,0,0,0,0,1,0,Cristiano Ronaldo
2005-2006,20,Manchester Utd,Premiership,Domestic,33,24,"2,286",25.4,9,6,9,0,0,8,1,Cristiano Ronaldo
2006-2007,21,Manchester Utd,Champions Lg,Champions League,11,11,959,10.7,3,4,3,0,0,3,0,Cristiano Ronaldo
2006-2007,21,Manchester Utd,Premiership,Domestic,34,31,"2,794",31,17,13,14,3,4,2,0,Cristiano Ronaldo
2007-2008,22,Manchester Utd,Champions Lg,Champions League,11,11,"1,015",11.3,8,2,7,1,1,2,0,Cristiano Ronaldo
2007-2008,22,Manchester Utd,Premier League,Domestic,34,31,"2,747",30.5,31,6,27,4,5,5,1,Cristiano Ronaldo
2008-2009,23,Manchester Utd,Champions Lg,Champions League,12,11,"1,010",11.2,4,2,4,0,0,2,0,Cristiano Ronaldo
2008-2009,23,Manchester Utd,Premier League,Domestic,33,31,"2,743",30.5,18,6,14,4,4,6,1,Cristiano Ronaldo
2009-2010,24,Real Madrid,Champions Lg,Champions League,6,5,450,5,7,1,7,0,0,0,0,Cristiano Ronaldo
2009-2010,24,Real Madrid,La Liga,Domestic,29,28,"2,461",27.3,26,7,22,4,5,4,2,Cristiano Ronaldo
2010-2011,25,Real Madrid,Champions Lg,Champions League,12,12,"1,022",11.4,6,4,5,1,1,2,0,Cristiano Ronaldo
2010-2011,25,Real Madrid,La Liga,Domestic,34,32,"2,914",32.4,40,9,32,8,8,2,0,Cristiano Ronaldo
2011-2012,26,Real Madrid,Champions Lg,Champions League,10,10,930,10.3,10,3,8,2,2,1,0,Cristiano Ronaldo
2011-2012,26,Real Madrid,La Liga,Domestic,38,37,"3,350",37.2,46,12,34,12,13,4,0,Cristiano Ronaldo
2012-2013,27,Real Madrid,Champions Lg,Champions League,12,12,"1,080",12,12,1,12,0,0,1,0,Cristiano Ronaldo
2012-2013,27,Real Madrid,La Liga,Domestic,34,30,"2,716",30.2,34,10,28,6,7,9,0,Cristiano Ronaldo
2013-2014,28,Real Madrid,Champions Lg,Champions League,11,11,993,11,17,5,15,2,3,1,0,Cristiano Ronaldo
2013-2014,28,Real Madrid,La Liga,Domestic,30,30,"2,534",28.2,31,9,25,6,6,4,1,Cristiano Ronaldo
2014-2015,29,Real Madrid,Champions Lg,Champions League,12,12,"1,065",11.8,10,4,7,3,4,1,0,Cristiano Ronaldo
2014-2015,29,Real Madrid,Copa del Rey,Cup,2,1,118,1.3,1,0,1,0,0,0,0,Cristiano Ronaldo
2014-2015,29,Real Madrid,La Liga,Domestic,35,35,"3,100",34.4,48,16,38,10,12,5,1,Cristiano Ronaldo
2014-2015,29,Real Madrid,Super Cup,Cup,1,1,90,1,2,0,2,0,0,0,0,Cristiano Ronaldo
2015-2016,30,Real Madrid,Champions Lg,Champions League,12,12,"1,109",12.3,16,4,14,2,0,1,0,Cristiano Ronaldo
2015-2016,30,Real Madrid,La Liga,Domestic,36,36,"3,182",35.4,35,11,29,6,9,3,0,Cristiano Ronaldo
2016-2017,31,Real Madrid,Champions Lg,Champions League,13,13,"1,200",13.3,12,6,12,0,0,1,0,Cristiano Ronaldo
2016-2017,31,Real Madrid,Copa del Rey,Cup,2,2,180,2,1,0,1,0,0,0,0,Cristiano Ronaldo
2016-2017,31,Real Madrid,La Liga,Domestic,29,29,"2,537",28.2,25,6,19,6,7,4,0,Cristiano Ronaldo
2017-2018,32,Real Madrid,Champions Lg,Champions League,13,13,"1,170",13,15,2,11,4,4,2,0,Cristiano Ronaldo
2017-2018,32,Real Madrid,La Liga,Domestic,27,27,"2,288",25.4,26,5,23,3,4,1,0,Cristiano Ronaldo
2017-2018,32,Real Madrid,Super Cup,Cup,1,0,8,0.1,0,0,0,0,0,0,0,Cristiano Ronaldo
2017-2018,32,Real Madrid,Supercopa de España,Cup,1,0,24,0.3,1,,1,0,0,2,1,Cristiano Ronaldo
2018-2019,33,Juventus,Champions Lg,Champions League,9,9,748,8.3,6,2,5,1,1,1,1,Cristiano Ronaldo
2018-2019,33,Juventus,Coppa Italia,Cup,2,1,119,1.3,0,0,0,0,0,0,0,Cristiano Ronaldo
2018-2019,33,Juventus,Serie A,Domestic,31,30,"2,688",29.9,21,8,16,5,6,3,0,Cristiano Ronaldo
2018-2019,33,Juventus,Supercoppa Italiana,Cup,1,1,90,1,1,0,1,0,0,0,0,Cristiano Ronaldo
2019-2020,34,Juventus,Champions Lg,Champions League,8,8,711,7.9,4,1,3,1,1,0,0,Cristiano Ronaldo
2019-2020,34,Juventus,Coppa Italia,Cup,4,4,390,4.3,2,0,1,1,2,0,0,Cristiano Ronaldo
